sentence,hate,category
এই উপস্থাপিকা একটা মাদার চোদ ! কবিরকে যদি কখনো সামনে পাই থুতু দিলেও দিবো,1,religion
মন্ত্রী বানায় দে মা লুটেপুটে খায়,0,politics
কাদের সাহেবকে জনগণ কত ভালোবাসে তা তিনি অসুস্থ থাকা অবস্থায় বুঝা গেছে। প্রতিটি পোষ্টে হাজার হাজার কমেন্ট পড়েছে উনার সুস্থ্যতা কামনা করে। সে সব যদি উনি এখন দেখেন তাহলে আবেগে আবার অসুস্থ হয়ে যেতে পারেন।,0,politics
খেলা না দেখলে কি হয় ভাই।এরা আবার খেলোয়াড় আফগানিস্তানের সাথে জিততে পারে না।বেশিরভাগ খেলোয়াড়দেরই ব্যবহার খারাপ,0,sports
বা লা নেকেট সানি লিওন,0,politics
ওবাই দুল কাদের হলো ছাগোল চোর আরজে বলে সে হলো রাম ছাগোল।,1,politics
"তরুলতা আমারও খুব প্রিয় একটা খাবার ছিল,,কিন্তু এখন আর সেই তরুলতা পাই না।",0,entertainment
শালা পাপন তুই বেশি বারছো 🤬🤬,1,sports
ওর পুটকি দিয়া গরম অান্ডা ঢালো তাহলে এরকম আর কেউ করবেনা,1,"Meme, TikTok and others"
তোমাদের কান্না দেখলে কারো মায়া লাগে না,0,crime
ওরফাসিচাইওরফাসিচাইওরফাসিচাইওরফাসিচাইওরফাসিচাই,0,"Meme, TikTok and others"
মারেন মারেন তাহেরি ভন্ডর পুটকি মারেন আই হায়,1,religion
ওই সালেক কেটে ফেলা উচিৎ,1,"Meme, TikTok and others"
শালার পুতেরা এডি বলে গান। আজকাল ছাগল গরু ও তোদের চেয়ে ভালো গান গায়।,1,entertainment
"মদ খান, ঘুম দেন।",0,celebrity
এই বাটপার কে ওয়াজের মঞ্চে উঠাইছে কোন সালারা। বয়সে এখন নাকের ময়লা যায় কে উঠাইছে এই বেয়াদব কে।??? সাবধান হইয়া যাও। সবাই,1,religion
পাপ তার বাপকেও ছাড়ে না আজ না হোক কাল এর শাস্তি সে অবশ্যই পাবে,0,sports
এই নডি ডিসির চোদা খেয়ে বিয়ে করার চাল করছে।,1,crime
স্যারের কোনো দোষ নাই চোদার সময় তো স্যারের কাজ থেকে ঠিকই চোদা লও। মাগিরে রাস্তায় নামানো হক সবাই মিলে ফ্রিতে চুদে দিবো,1,crime
এই শালা মাজার পুজারিরে জুতা মারেন তালে তাল,1,religion
মাগিরে আর মাগির পুলারে এই দুইটারেই ডিম থ্যারাপি দেওয়া হোক।,1,crime
দেখা শুরু করলাম আশা করি ভালো হবে / আর হতে ই হবে বস আছে তো,0,entertainment
তর বুদাই আগুন লাগাই দিব,0,crime
গালি দিয়েছে তো কি হয়েছে কুত্তার বাচ্চাদের এত গায়ে লাগছে কেন,1,sports
"উনি জিন্দা হয়ে উঠেছিলেন!  কিন্তু কমেন্ট গুলা পড়ার পর মদ খেয়ে আবার মরে গেছেন। 😊  আল্লাহ, তারে জান্নাতবাসী করুন। আমীন। ✌✌",0,celebrity
তাইরা ত এক মালাউন তা সবাই জানে,1,religion
তোর বাপে ভন্ড,0,religion
আধা ঘন্টা ধরে ডলাডলি আর হাত মারার পরও ধন দাড় করাইতে পারে না যে ভাদাইম্যা সে আবার কি বালের লীলা করলো হা হা হা,1,crime
কুকুরের থেকে ও নিকৃষ্ট,1,"Meme, TikTok and others"
